iter	Passed	Remaining
825	22014	4637
826	22040	4610
827	22065	4583
828	22092	4557
829	22118	4530
830	22145	4503
831	22171	4476
832	22199	4450
833	22224	4423
834	22250	4396
835	22276	4370
836	22304	4343
837	22330	4316
838	22356	4290
839	22381	4263
840	22407	4236
841	22432	4209
842	22459	4182
843	22484	4155
844	22511	4129
845	22536	4102
846	22561	4075
847	22587	4048
848	22613	4021
849	22639	3995
850	22665	3968
851	22689	3941
852	22716	3914
853	22742	3888
854	22767	3861
855	22796	3834
856	22822	3808
857	22849	3781
858	22875	3754
859	22900	3728
860	22927	3701
861	22953	3674
862	22979	3648
863	23007	3621
864	23032	3594
865	23059	3568
866	23084	3541
867	23110	3514
868	23135	3487
869	23161	3460
870	23186	3434
871	23211	3407
872	23236	3380
873	23263	3353
874	23291	3327
875	23317	3300
876	23343	3273
877	23369	3247
878	23396	3220
879	23421	3193
880	23447	3167
881	23475	3140
882	23500	3113
883	23526	3087
884	23552	3060
885	23577	3033
886	23603	3007
887	23629	2980
888	23654	2953
889	23679	2926
890	23705	2900
891	23732	2873
892	23758	2846
893	23785	2820
894	23811	2793
895	23837	2766
896	23863	2740
897	23889	2713
898	23915	2686
899	23941	2660
900	23967	2633
901	23993	2606
902	24020	2580
903	24045	2553
904	24071	2526
905	24097	2500
906	24122	2473
907	24147	2446
908	24173	2419
909	24199	2393
910	24225	2366
911	24250	2339
912	24275	2313
913	24302	2286
914	24328	2260
915	24354	2233
916	24379	2206
917	24407	2180
918	24433	2153
919	24459	2126
920	24485	2100
921	24511	2073
922	24537	2046
923	24563	2020
924	24588	1993
925	24615	1967
926	24641	1940
927	24667	1913
928	24692	1887
929	24717	1860
930	24743	1833
931	24769	1807
932	24794	1780
933	24821	1753
934	24846	1727
935	24872	1700
936	24897	1674
937	24925	1647
938	24951	1620
939	24977	1594
940	25004	1567
941	25029	1541
942	25054	1514
943	25080	1487
944	25105	1461
945	25130	1434
946	25156	1407
947	25181	1381
948	25212	1354
949	25238	1328
950	25263	1301
951	25289	1275
952	25315	1248
953	25342	1221
954	25368	1195
955	25393	1168
956	25420	1142
957	25447	1115
958	25475	1089
959	25500	1062
960	25525	1035
961	25551	1009
962	25578	982
963	25603	956
964	25629	929
965	25654	902
966	25680	876
967	25706	849
968	25732	823
969	25759	796
970	25784	770
971	25810	743
972	25836	716
973	25861	690
974	25887	663
975	25913	637
976	25939	610
977	25967	584
978	25994	557
979	26019	531
980	26044	504
981	26071	477
982	26097	451
983	26122	424
984	26148	398
985	26174	371
986	26200	345
987	26226	318
988	26252	291
989	26277	265
990	26303	238
991	26328	212
992	26354	185
993	26380	159
994	26406	132
995	26431	106
996	26457	79
997	26483	53
998	26511	26
999	26536	0
